,Model,Accuracy,Precision,Recall,F1
0,Logistic Regression,0.860255966793497,0.8730161086757606,0.7729122666106867,0.8117234455277916
1,Multinomial NB,0.7225873400207541,0.7759317597390137,0.5275143981088506,0.5650043713936003
2,Linear SVM,0.7938429609131789,0.7571573665215676,0.7059763433924875,0.7274648712831272
